ws_per_48_calc,bpm_calc,ts_pct_calc,fg_pct_calc,fg3_pct_calc,pts_per_36_calc,stl_pct_calc,trb_pct_calc,blk_pct_calc,mps_calc,ast_pct_calc,allstar_pct_calc,sum_mp,start_age,end_age,avg_age,player_height,player_weight,stand_jump,max_jump,court_sprint,lane_agility,bench_press,usg_pct_calc,orb_pct_calc,drb_pct_calc,net_rating_calc,career_years,all_star_total,score_guard,score_wing,score_big,score_nach_cluster,success_score
0.13062852921864743,-0.19902604508645222,0.553514554607135,0.492106451083388,0.17459827095644562,12.144977019041367,0.014251614138761215,0.1470775607353907,0.0091802910921427,2284.5,0.05433820310790107,0.0625,36552.0,22.0,37.0,29.5,205.74,102.0582,,,,,,0.1475293007222587,0.10619840227620923,0.1867840063471219,-0.6539177062814621,16,1,45.89,51.42,51.98,51.98,51.98
-0.129,-15.9,0.19,0.19,,4.721311475409836,0.008,0.201,0.0,61.0,0.0,0.0,61.0,23.0,23.0,23.0,208.28,102.965384,,,,,,0.171,0.217,0.185,-32.6,1,0,5.16,15.95,18.9,18.9,18.9
0.017107142857142855,-3.8464285714285715,0.48,0.4357857142857143,0.13932142857142857,17.36177606177606,0.009000000000000001,0.05546428571428571,0.004392857142857143,1554.0,0.1569642857142857,0.0,3108.0,23.0,24.0,23.5,,,,,,,,0.23835714285714288,0.048928571428571425,0.06253571428571428,,2,0,35.27,30.19,29.45,35.27,35.27
0.009784911717495987,-2.9203852327447835,0.48265569823434995,0.38114526484751204,0.3798940609951846,12.741573033707866,0.008841091492776888,0.03765168539325843,0.007418138041733549,415.3333333333333,0.20855939004815416,0.0,1246.0,22.0,24.0,23.0,185.42,81.64656,33.0,37.5,3.22,10.55,9.0,0.19328089887640448,0.020305778491171753,0.05647752808988764,-8.149036918138043,3,0,31.52,25.46,24.47,31.52,31.52
-0.001,-6.6,0.472,0.405,0.5,10.689570552147242,0.003,0.128,0.07200000000000001,163.0,0.038,0.0,163.0,24.0,24.0,24.0,213.36,117.93392,,,,,,0.17600000000000002,0.054000000000000006,0.21,-0.6,1,0,22.31,25.17,31.03,31.03,31.03
0.05786637821328582,-1.2729956731992875,0.48615041995418684,0.37924586408755406,0.3166579282260117,13.942784423517436,0.01605370323237465,0.05306210231611097,0.001726902519725121,654.8333333333334,0.236283787223212,0.0,3929.0,23.0,28.0,25.5,187.96,84.821704,,,,,,0.20444489692033596,0.01925349961822347,0.08730898447442097,-1.1104097734792566,6,0,36.17,31.38,28.78,36.17,36.17
0.06871232978644246,-1.1826549594463875,0.5253157228960489,0.41310447205893297,0.3703291911600566,16.779016295855346,0.013511273160205372,0.045029466478160585,0.0048662102835032375,1343.9,0.2355014510008185,0.0,13439.0,23.0,33.0,28.1,182.88,73.028312,32.5,39.5,3.2,10.57,6.0,0.2311710692759878,0.021307314532331274,0.0686740828930724,-1.0822308207455913,10,0,42.61,35.92,33.88,42.61,42.61
0.09048523924854357,-0.11269228251620082,0.5429317274333967,0.46142658898998495,0.3188084047915166,16.223447011847878,0.01257674936178569,0.11861759507756757,0.018629050206192314,1697.4444444444443,0.13201197879164758,0.0,15277.0,19.0,27.0,23.0,204.61111111111111,102.81418666666667,32.5,39.0,3.27,10.81,,0.2045773384826864,0.05968115467696537,0.17894907377102834,0.1328271257445834,9,0,41.83,41.89,42.6,42.6,42.6
0.07717631783952221,-3.58989872760322,0.5275367437029344,0.5105998441963127,0.0,9.96800830952999,0.012839781874837704,0.1800532329265126,0.017639833809400155,550.1428571428571,0.08419942871981304,0.0,3851.0,23.0,29.0,26.0,213.35999999999999,122.46984,27.0,32.5,3.7,12.07,17.0,0.15072266943651,0.12915891976110103,0.23123058945728384,-4.749233965203844,7,0,29.36,36.03,38.18,38.18,38.18
-0.020542274052478132,-7.387755102040816,0.371932944606414,0.2581166180758018,0.2233148688046647,8.417492711370263,0.021583090379008744,0.06738775510204081,0.005434402332361516,114.33333333333333,0.06484839650145773,0.0,343.0,21.0,23.0,22.0,198.12,95.25432,28.5,34.5,3.27,,1.0,0.14883090379008745,0.024970845481049567,0.11243440233236152,-9.903498542274052,3,0,19.14,23.29,19.93,19.14,23.29
0.050195739910313904,-2.3084529147982065,0.5210845291479821,0.41334327354260086,0.37574417040358743,14.48152466367713,0.01780560538116592,0.053307174887892377,0.009845739910313903,892.0,0.181504932735426,0.0,4460.0,22.0,26.0,24.0,183.38799999999998,83.91452,25.5,33.0,3.27,10.96,,0.19374439461883408,0.016385426008968612,0.08920291479820629,1.4382959641255606,5,0,35.49,32.59,29.98,35.49,35.49
0.10009840258926707,0.6798078930883275,0.5094037899352684,0.4340694299436208,0.331213823345166,11.040363332637293,0.025267383587387764,0.07796512841929422,0.006501566088953852,1473.5384615384614,0.18137366882438924,0.0,19156.0,22.0,34.0,28.0,195.57999999999998,94.800728,,,,,,0.15933733556065985,0.028979223219878888,0.1267492691584882,1.8595792441010648,13,0,40.9,42.13,38.21,40.9,42.13
-0.015,-5.0,0.405,0.333,,4.63728813559322,0.017,0.066,0.005999999999999999,118.0,0.295,0.0,118.0,22.0,22.0,22.0,185.42,86.18248,32.0,37.5,3.22,10.69,7.0,0.11599999999999999,0.0,0.136,-3.9,1,0,25.78,23.13,20.84,25.78,25.78
