player,pos_cluster_calc,ws_per_48_calc,bpm_calc,ts_pct_calc,fg_pct_calc,fg3_pct_calc,pts_per_36_calc,stl_pct_calc,trb_pct_calc,blk_pct_calc,mps_calc,ast_pct_calc,allstar_pct_calc,sum_mp,start_age,end_age,avg_age,player_height,player_weight,team_id,draft_year,draft_number,draft_round,stand_jump,max_jump,court_sprint,lane_agility,bench_press,usg_pct_calc,orb_pct_calc,drb_pct_calc,net_rating_calc,career_years,all_star_total,score_guard,score_wing,score_big,score_nach_cluster,success_score,d_group,avg_score_d_group,score_d_group_diff,avg_score_d_number,score_d_number_diff
Chris Andersen,Big,0.15490377250875906,0.9421820255846166,0.5887485537358429,0.5413350444064207,0.12391721665444472,11.024395013444146,0.013152041065754093,0.16761549743339038,0.0634804856188381,818.2,0.04403112523425405,0.0,12273.0,23.0,38.0,30.666666666666668,208.28,105.0519072,DEN,Undrafted,61,Undrafted,,,,,,0.13879344903446592,0.11322952823270593,0.22163195632689645,2.763309704228795,15,0,36.47,43.44,47.47,47.47,47.47,7,32.88851913477537,14.581480865224627,32.88851913477537,14.581480865224627
Chris Anstey,Big,0.06177097821047752,-2.915206305053315,0.4735484469170144,0.4102614742698192,0.13723180343069077,13.60556328233658,0.019144645340751044,0.14172508113120075,0.021588317107093188,719.0,0.10931571627260084,0.0,2157.0,23.0,25.0,24.0,213.36,112.944408,DAL,1997,18,1,,,,,,0.21212656467315716,0.09296754751970329,0.192362076958739,-7.300649049605934,3,0,31.01,35.32,35.2,35.2,35.32,2,40.05011976047904,-4.730119760479042,40.1614705882353,-4.841470588235296
Chris Babb,Guard,-0.008,-6.1,0.367,0.267,0.222,6.109090909090909,0.023,0.073,0.0,132.0,0.033,0.0,132.0,23.0,23.0,23.0,195.58,102.0582,BOS,Undrafted,61,Undrafted,,,,,,0.111,0.033,0.115,-2.4,1,0,17.74,24.21,20.38,17.74,24.21,7,32.88851913477537,-8.678519134775371,32.88851913477537,-8.678519134775371
Chris Bosh,Big,0.15917885771543086,1.8725325651302607,0.5697697582665331,0.4929163013527054,0.2928326966432866,19.38257765531062,0.012093812625250501,0.1409824023046092,0.02292362850701403,2456.6153846153848,0.0986470754008016,0.8461538461538461,31936.0,19.0,31.0,25.0,209.4523076923077,104.84953538461538,TOR,2003,4,1,30.5,33.0,3.3,11.8,9.0,0.24592713552104206,0.07216874373747495,0.2075098634769539,3.747357214428858,13,11,64.08,65.13,66.73,66.73,66.73,1,47.20743935309973,19.522560646900274,47.13102564102564,19.598974358974367
Chris Boucher,Big,0.1919151720794959,1.6538051381483276,0.5954978187106156,0.48241177896267573,0.33324260785264176,18.057586039747942,0.013251817741153658,0.1615714978187106,0.06368662142510906,687.6666666666666,0.04358846340281144,0.0,4126.0,25.0,30.0,27.5,206.58666666666667,90.71840000000002,TOR,Undrafted,61,Undrafted,,,,,,0.19363427047988369,0.10687372758119244,0.21939287445467764,4.450339311682016,6,0,39.29,43.72,47.58,47.58,47.58,7,32.88851913477537,14.691480865224626,32.88851913477537,14.691480865224626
Chris Carr,Guard,0.04153518312985571,-3.0372918978912318,0.5112255271920089,0.41922352941176466,0.33099955604883463,15.863973362930077,0.01100377358490566,0.08413385127635961,0.007360044395116536,750.8333333333334,0.11568768035516093,0.0,4505.0,21.0,26.0,23.5,198.12,99.79024,MIN,1995,56,2,,,,,,0.226157602663707,0.044470588235294116,0.12443485016648168,-3.819733629300777,6,0,33.23,31.78,31.44,33.23,33.23,6,33.73416,-0.5041600000000059,32.45,0.779999999999994
Chris Childs,Guard,0.08097231401924067,-1.135352867738856,0.508661966659323,0.40090695454211644,0.33952390394359994,9.786649041639128,0.019215980024968788,0.0557654402585004,0.0030889329514577363,1513.0,0.3091794080928251,0.0,13617.0,27.0,35.0,31.0,190.5,88.45044,NYK,Undrafted,61,Undrafted,,,,,,0.15705551883674818,0.016654108834545055,0.09442424910038921,0.9490857016964089,9,0,41.48,36.74,33.53,41.48,41.48,7,32.88851913477537,8.591480865224625,32.88851913477537,8.591480865224625
Chris Chiozza,Guard,0.034626204238921,-2.8116570327552988,0.45359344894026976,0.3445269749518305,0.34191425818882465,10.58150289017341,0.019579961464354527,0.06052023121387284,0.009444123314065512,259.5,0.28180635838150286,0.0,1038.0,23.0,26.0,24.5,180.975,79.3786,BRK,Undrafted,61,Undrafted,,,,,,0.16863487475915223,0.02334971098265896,0.09691618497109826,0.6372832369942196,4,0,32.23,28.38,25.51,32.23,32.23,7,32.88851913477537,-0.6585191347753749,32.88851913477537,-0.6585191347753749
Chris Clemons,Guard,0.058,-1.0,0.548,0.401,0.346,20.004123711340206,0.014,0.054000000000000006,0.018000000000000002,291.0,0.14300000000000002,0.0,291.0,22.0,22.0,22.0,175.26,81.64656,HOU,Undrafted,61,Undrafted,,,,,,0.23600000000000002,0.014,0.094,-8.8,1,0,36.19,31.79,30.5,36.19,36.19,7,32.88851913477537,3.301480865224626,32.88851913477537,3.301480865224626
Chris Copeland,Big,0.06673045949786831,-1.5634770251065848,0.5337219327333017,0.42079772619611555,0.36691046897205115,17.04159166271909,0.008099478919943155,0.07337091425864518,0.011333017527238275,527.75,0.08553481762198012,0.0,2111.0,28.0,31.0,29.5,203.83499999999998,105.91373200000001,IND,Undrafted,61,Undrafted,,,,,,0.22939033633349126,0.03494315490288963,0.11196541923259118,-2.1587399336807196,4,0,33.55,31.39,31.67,31.67,33.55,7,32.88851913477537,0.6614808652246253,32.88851913477537,0.6614808652246253
Chris Crawford,Big,0.07764642409033878,-2.6034127979924717,0.5193146800501882,0.43730062735257214,0.3130444165621079,15.021530740276033,0.013315934755332498,0.07759372647427855,0.014282308657465496,569.2857142857143,0.06922057716436637,0.0,3985.0,22.0,28.0,25.0,205.74,106.59412,ATL,1997,50,2,,,,,,0.20777967377666248,0.05900752823086575,0.09633801756587203,-5.043789209535759,7,0,32.03,32.47,31.76,31.76,32.47,5,35.637464788732395,-3.1674647887323957,34.6575,-2.1875
